"Data last updated November, 01 2020",,,,,,,,,,,,,
"Note: Carbon pricing initiatives are considered ""scheduled for implementation"" once they have been formally adopted through legislation and have an official, planned start date.  Carbon pricing initiatives are considered “under consideration” if the government has announced its intention to work towards the implementation of a carbon pricing initiative and this has been formally confirmed by official government sources.  Jurisdictions that only mention carbon pricing in their NDCs are not included as different interpretations of the NDC text are possible. The carbon pricing initiatives have been classified in ETSs and carbon taxes according to how they operate technically. ETS does not only refer to cap-and-trade systems, but also baseline-and-credit systems such as in British Columbia and baseline-and-offset systems such as in Australia. Carbon pricing has evolved over the years and initiatives do not necessarily follow the two categories in a strict sense. Due to the dynamic approach to continuously improve data quality, changes to the map do not only reflect new developments, but also corrections following new information from official government sources.    ",,,,,,,,,,,,,
Name of the initiative,Type,Status,Type of juridiction covered,Jurisdiction covered,World Bank region,Year of implementation,Year of abolishment,GHG emissions covered [MtCO2e],Proportion of global GHG emissions covered,"Government income, previous year",Value [billion US$],Initiatives with overlapping GHG emissions covered,Covered GHG emissions overlapping with other initiatives [MtCO2e]
Alberta TIER,ETS,Implemented,Subnational,Alberta,North America,2007,0,131.904,0.002434763,0.367606535,2.783371811,N/A,
Alberta carbon tax,Carbon tax,Implemented,Subnational,Alberta,North America,2017,2020,0,0,N/A,0.942533516,N/A,
Argentina carbon tax,Carbon tax,Implemented,National,Argentina,Latin America and the Caribbean  ,2018,0,88.1248,0.00162666,0.179263216,0.180258345,N/A,
Australia ERF Safeguard Mechanism,ETS,Implemented,National,Australia,East Asia & Pacific ,2016,0,344.208,0.006353596,N/A,3.509703094,N/A,
Austria undecided,Undecided,Under consideration,National,Austria,Europe and Central Asia,TBC,0,N/A,N/A,N/A,0,N/A,
BC GGIRCA,ETS,Implemented,Subnational,British Columbia,North America,2016,0,0,0,N/A,0,BC carbon tax,0
BC carbon tax,Carbon tax,Implemented,Subnational,British Columbia,North America,2008,0,41.65,0.0007688,1.145107884,1.374762505,BC GGIRCA,0
Baja Calfornia carbon tax,Carbon tax,Implemented,Subnational,Baja California,Latin America and the Caribbean  ,2020,0,N/A,N/A,N/A,0,N/A,
Beijing pilot ETS,ETS,Implemented,Subnational,Beijing,East Asia & Pacific ,2013,0,84.645,0.001562428,0,0.610211026,China national ETS,29.62575
Brazil undecided,Undecided,Under consideration,National,Brazil,Latin America and the Caribbean  ,TBC,0,N/A,N/A,N/A,0,N/A,
California CaT,ETS,Implemented,Subnational,California,North America,2012,0,375.1662,0.006925041,3.064749861,5.11326,N/A,
Canada federal OBPS,ETS,Implemented,National,Canada,North America,2019,0,70.94868717,0.001309613,N/A,0,N/A,
Canada federal fuel charge,Carbon tax,Implemented,National,Canada,North America,2019,0,155.3341992,0.002867251,1.371069743,3.010831877,N/A,
Catalonia carbon tax,Carbon tax,Under consideration,Subnational,Catalonia,Europe and Central Asia,TBC,0,N/A,N/A,N/A,0,N/A,
Chile ETS,ETS,Under consideration,National,Chile,Latin America and the Caribbean  ,TBC,0,N/A,N/A,N/A,0,N/A,
Chile carbon tax,Carbon tax,Implemented,National,Chile,Latin America and the Caribbean  ,2017,0,57.61092378,0.001063417,0.1655,0.1655,N/A,
China national ETS,ETS,Scheduled,National,China,East Asia & Pacific ,2021,0,3453.43506,0.06374556,N/A,0,"Beijing pilot ETS, Chongqing pilot ETS, Fujian pilot ETS, Guangdong pilot ETS, Hubei pilot ETS, Shanghai pilot ETS, Shenzhen pilot ETS, Tianjin pilot ETS",471.0077916
Chongqing pilot ETS,ETS,Implemented,Subnational,Chongqing,East Asia & Pacific ,2014,0,121.55,0.002243642,0,0.530538721,China national ETS,42.5425
Colombia ETS,ETS,Under consideration,National,Colombia,Latin America and the Caribbean  ,TBC,0,N/A,N/A,N/A,0,N/A,
Colombia carbon tax,Carbon tax,Implemented,National,Colombia,Latin America and the Caribbean  ,2017,0,45.66552,0.000842921,0.111244537,0.116589315,N/A,
