"Data last updated November, 01 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: Only the introduction or removal of an ETS or carbon tax is shown. The coverage of each carbon pricing initiative is presented as a share of annual global GHG emissions for 1990-2015 based on data from the Emission Database for Global Atmospheric Research (EDGAR) version 5.0 including biofuels emissions. From 2015 onwards, the share of global GHG emissions is based on 2015 emissions from EDGAR. The GHG emissions coverage for each jurisdiction is based on official government sources and/or estimates.  If emissions that are covered by multiple carbon pricing initiatives shown in the graph, these are attributed to the carbon pricing initiative that was introduced first. Due to the dynamic approach to continuously improve data quality, changes to the graph do not only reflect new developments, but also corrections following new information from official government sources.  The information on the China national ETS represents early unofficial estimates based on the announcement of China’s National Development and Reform Commission on the launch of the national ETS of December 2017. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
Finland carbon tax,0.10118%,0.09968%,0.09523%,0.09823%,0.10543%,0.10034%,0.10397%,0.10339%,0.10143%,0.10238%,0.10010%,0.10468%,0.10664%,0.11123%,0.10758%,0.09144%,0.10242%,0.09439%,0.08805%,0.08399%,0.09147%,0.08339%,0.08068%,0.08063%,0.07802%,0.07505%,0.07505%,0.07505%,0.07505%,0.07505%,0.07505%,0.07505%, 
Poland carbon tax,0.05344%,0.05225%,0.05043%,0.05109%,0.04962%,0.04868%,0.04923%,0.04790%,0.04455%,0.04312%,0.04037%,0.03964%,0.03831%,0.03781%,0.03651%,0.03556%,0.03567%,0.03455%,0.03391%,0.03320%,0.03342%,0.03248%,0.03181%,0.03078%,0.02955%,0.02970%,0.02970%,0.02970%,0.02970%,0.02970%,0.02970%,0.02970%, 
Norway carbon tax, ,0.09676%,0.10148%,0.10673%,0.11187%,0.11153%,0.11239%,0.11638%,0.11933%,0.12286%,0.11309%,0.11295%,0.11231%,0.11431%,0.11026%,0.10370%,0.10110%,0.09985%,0.09973%,0.09744%,0.09650%,0.09111%,0.08745%,0.08438%,0.08299%,0.08590%,0.08590%,0.08590%,0.08590%,0.08590%,0.08590%,0.08590%, 
Sweden carbon tax, ,0.11267%,0.11579%,0.11709%,0.11913%,0.11889%,0.12454%,0.11843%,0.11902%,0.11476%,0.11214%,0.10824%,0.10767%,0.10610%,0.10123%,0.10247%,0.10258%,0.09867%,0.09404%,0.09215%,0.09617%,0.08681%,0.08568%,0.08176%,0.08046%,0.08160%,0.08160%,0.08160%,0.08160%,0.08160%,0.08160%,0.08160%, 
Denmark carbon tax, , ,0.08757%,0.09037%,0.09358%,0.08780%,0.10140%,0.09006%,0.08561%,0.08190%,0.07650%,0.07811%,0.07663%,0.08003%,0.07204%,0.06731%,0.07198%,0.06678%,0.06356%,0.06223%,0.06307%,0.05695%,0.05203%,0.05170%,0.04795%,0.04666%,0.04666%,0.04666%,0.04666%,0.04666%,0.04666%,0.04666%, 
Slovenia carbon tax, , , , , , ,0.01345%,0.01359%,0.01343%,0.01283%,0.01297%,0.01399%,0.01401%,0.01350%,0.01315%,0.01285%,0.01264%,0.01217%,0.01266%,0.01209%,0.01169%,0.01088%,0.01047%,0.01007%,0.00910%,0.00921%,0.00921%,0.00921%,0.00921%,0.00921%,0.00921%,0.00921%, 
Estonia carbon tax, , , , , , , , , , ,0.00182%,0.00187%,0.00178%,0.00190%,0.00187%,0.00182%,0.00166%,0.00191%,0.00182%,0.00165%,0.00189%,0.00180%,0.00175%,0.00187%,0.00185%,0.00169%,0.00169%,0.00169%,0.00169%,0.00169%,0.00169%,0.00169%, 
Latvia carbon tax, , , , , , , , , , , , , , ,0.00552%,0.00548%,0.00554%,0.00551%,0.00520%,0.00520%,0.00505%,0.00476%,0.00493%,0.00482%,0.00482%,0.00486%,0.00486%,0.00486%,0.00486%,0.00486%,0.00486%,0.00486%, 
EU ETS, , , , , , , , , , , , , , , ,4.91047%,4.79452%,4.63337%,4.51430%,4.26262%,4.21687%,3.97560%,3.91017%,4.25584%,4.06052%,4.10981%,4.10981%,4.10981%,4.10981%,4.10981%,4.10981%,4.10981%, 
Alberta TIER, , , , , , , , , , , , , , , , , ,0.24597%,0.23867%,0.23326%,0.22802%,0.23050%,0.23716%,0.24424%,0.24569%,0.24348%,0.24348%,0.24348%,0.24348%,0.24348%,0.24348%,0.24348%, 
