"Data last updated November, 01 2020",,,,,,,,,,,,,,,,,,,,,,,,,,
Name of the initiative,Type of the initiative,Status of the initiative,Year of implementation,Description of the initiative,Recent developments,Jurisdictions covered,GHG emissions in the jurisdiction (2012),Share of jurisdiction's GHG emissions covered,Sectors and/or fuels covered,Proportion of GHG emissions covered overlapping with other carbon pricing initiatives,"Cap or total emission units (current year or latest year available, ETS only)",Allocation approaches (ETS only),Competitiveness considerations and/or exemptions,Point of regulation,Compliance cycle,Use of offsets,Price level,Price/market stabilization mechanisms (ETS only),Future price developments (Carbon tax only),Government revenues (previous year),Value (current year),Relation to other carbon pricing initiatives,Cooperations,Links to official sources,To find out more,Contributions
General information,General information,General information,General information,General information,General information,Scope,Scope,Scope,Scope,Scope,Allocation,Allocation,Compliance,Compliance,Compliance,Compliance,Price,Price,Price,Value,Value,Other information,Other information,Other information,Other information,Other information
Alberta TIER,ETS,Implemented,2007,"The Technology Innovation and Emissions Reduction (TIER) is a baseline-and-credit ETS that allows the use of facility-specific benchmarks and covers facilities that emit at least 100 ktCO2e per year. It came into effect on January 1, 2020, replacing the Carbon Competitive Incentive Regulation (CCIR) that started in 2018.","Following a change in government in April 2019, Alberta replaced its Carbon Competitiveness Incentive Regulation (CCIR) with the Technology Innovation and Emissions Reduction (TIER) Regulation system, a baseline-and-credit ETS, effective as of January 1, 2020.  Under the new system, electricity must continue to meet a clean-as-best gas benchmark while the emissions performance benchmark that other industrial facilities need to meet can now also be based on 90% of their past performance instead of only a sector-wide benchmark under the CCIR. Facility-specific benchmarks will reduce by 1% annually beginning in 2021. Facilities can meet their benchmark by reducing emissions, purchasing performance credits from other facilities, using Alberta-based emission offsets or paying into a TIER compliance fund at CAN$30/tCO2e (US$21/tCO2e), a price consistent with the federal minimum carbon price for 2020. Use of carbon pricing revenues include investment in programs and policies to reduce emissions and reduction of government debt.",Alberta,275 MtCO2e,48%,The Alberta TIER applies to GHG emissions from the industry and power sectors except for industrial process emissions.,Not applicable,There is no cap on emissions in the Alberta TIER.,"The absolute emissions baseline of each facility (i.e. their freely allocated emission level) is determined by a combination of emissions intensity benchmarks and actual production activity data. Facilities can choose to use facility-specific emissions intensity benchmarks or sector-wide benchmarks. Facility-specific benchmarks are based on 90% of their past performance and will reduce by 1% annually beginning in 2021. Operators can earn emissions performance credits if their emission intensity is below the benchmark level, and sell these credits to other covered operators or bank them for future compliance cycles. ",Covered facilities only face compliance costs for the emissions above their baseline and facilities experiencing economic challenges due to the compliance costs can receive support from the Compliance Cost Containment Program.,"Operators are liable for reporting the emissions covered under the Alberta TIER at a facility level and meet their compliance obligations for the emissions above the benchmark emission intensity. This is equivalent to the actual production activity level multiplied by the difference between the actual and baseline emissions intensity. Operators can meet their compliance obligations through surrendering an equivalent amount of emission performance credits or Alberta-based offset credits, or contributing to the TIER compliance fund.","Operators need to meet their compliance obligations on an annual basis, and reporting for facilities emitting greater than 1 Mt CO2e annually is conducted on a quarterly basis.",Operators can use offset credits to meet their compliance obligations. Offset credits that have been created in Alberta using protocols approved by the Alberta government can be used for compliance. ,CAN$30/tCO2e (US$21/tCO2e),Operators can pay into the TIER compliance fund to meet their compliance obligations at a fixed price of CAN$30/tCO2e in 2020. This effectively acts as a price ceiling on the price of eligible credits.,Not applicable,US$368 million,US$2783 million,Operators under the Alberta TIER do not face the federal backstop system.,Not applicable,Alberta TIER Technology Innovation and Emissions Reduction Implementation Act,-,
Argentina carbon tax,Carbon tax,Implemented,2018,"The government of Argentina implemented a carbon tax (official name: Impuesto al dioxido de carbono) on January 1, 2018 for most liquid fuels, replacing previous fuel taxes. The revenue is designated to multiple beneficiaries, including the National Housing Fund, the Transport Infrastructure Trust, and the social security system, among others. For fuel oil, mineral coal, and petroleum coke, the tax rate became operational from the beginning of 2019, at 10% of the full tax rate, and will increase annually by 10 %age points to reach 100% in 2028. 100% of this revenue is distributed according to the Federal Revenue Distribution System.",No significant recent developments,Argentina,441 MtCO2e,20%,The Argentina carbon tax applies to CO2 emissions from all sectors with some exemptions for certain sectors (see Competitiveness considerations and/or exemptions).    The tax covers almost all liquid fuels and coal.,Not applicable,Not applicable,Not applicable,"The use of fossil fuels in certain sectors and/or for certain purposes is also (partially) exempt from the carbon tax, including international aviation and international shipping, export of the fuels covered, the biofuel content of liquid fuels and the use of fossil fuels as raw materials in chemical processes.","Producers, distributors and importers of the fossil fuels covered are liable for payment of the tax. ",The carbon tax is to be paid on a monthly basis.,Not applicable,N/A,Not applicable,"The tax rates for most liquid fuels are updated quarterly for inflation. For mineral coal, petroleum coke, and fuel oil, the tax rate started in 2019 at 10% of the full tax rate, increasing annually by 10% to reach 100% in 2028.",US$179 million,US$180 million,Not applicable,Not applicable,Carbon tax act of Argentina,-,
Australia ERF Safeguard Mechanism,ETS,Implemented,2016,"The ERF Safeguard Mechanism came into effect on July 1, 2016, launching a baseline-and-offset system. It intends to ensure that emission reductions purchased by the Australian Government through the ERF are not offset by significant increases in emissions above business-as-usual levels elsewhere in the economy.","In February 2020, the Australian Government published default emission intensity values for the ERF Safeguard Mechanism. The default values provide covered facilities with an additional option of setting their baselines in a simplified way, because the baseline setting method that about three-quarters of the facilities currently use, based on their historically highest emissions in 2009?2014, will no longer be allowed for most facilities as of July 1, 2020.",Australia,688 MtCO2e,50%,The ERF Safeguard Mechanism applies to GHG emissions from the industry and power sectors and includes industrial process emissions.,Not applicable,The total emission limit under the safeguard mechanism is the bottom-up combination of the absolute emission baseline for each covered facility.,"The emissions baseline (emission limit) of each facility is based on its historical emissions. Baselines can be adjusted to accommodate economic growth, natural resource variability and other circumstances where historical baselines will not represent future business-as-usual emissions. Covered facilities will not automatically receive credits for emission reductions below the baseline, but they can implement emission reduction projects to generate Australian Carbon Credit Units (See Point of Regulation).","Operators do not have to pay for GHG emission up to their baseline emission level. Only if the baseline emissions level is exceeded, operators must surrender Australian Carbon Credit Units (ACCUs). Also, small emitters are exempt from the safeguard mechanism. ","Operators are liable for reporting the emissions covered under the safeguard mechanism at a facility level. For covered facilities that have implement emission reduction projects to generate Australian Carbon Credit Units (ACCUs), rules in place to avoid double counting of emission reductions. Operators need to meet their compliance obligations for the emissions above the baseline emission level through surrendering an equivalent amount of ACCUs.","Operators need to meet their compliance obligations on an annual basis. To accommodate normal year-to-year variability in direct emissions, operators can apply for multi-year compliance period of two or three years.",Operators can use Australian Carbon Credit Units (ACCUs) generated from covered facilities or other projects to meet their compliance obligations. Projects need to meet specific eligibility requirements depending on the project type to be able to obtain ACCUs. ,A$16/tCO2e (US$10/tCO2e),Not applicable,Not applicable,N/A,US$3510 million,Not applicable,Not applicable,Factsheet ERF safeguard mechanism,-,
Austria undecided,Undecided,Under consideration,TBC,"On January 2, 2020, the government of Austria presented its national climate plans and its ambition to reach carbon neutrality by 2040. The plans include the introduction of carbon pricing for sectors not covered by the EU ETS (transportation and buildings).",A task force is in place to launch a formal proposal by 2022. ,,,,,,,,,,,,,,,,,,,,,
BC GGIRCA,ETS,Implemented,2016,"The British Columbia Greenhouse Gas Industrial Reporting and Control Act (GGIRCA) enables a price to be put on emissions of industrial facilities or sectors exceeding a specific limit, in addition to the province's existing revenue neutral carbon tax. This established a baseline-and-credit system that will covers liquefied natural gas (LNG) facilities currently under construction, once they become operational.",No significant recent developments,British Columbia,60 MtCO2e,0%,"The GGIRCA applies to GHG emissions from liquefied natural gas (LNG) facilities currently under construction, once they become operational.",100%  Estimated based on overlap with: BC carbon tax,The total emission limit under the BC GGIRCA is the bottom-up combination of the emission intensity baseline for each covered facility.,"The emissions intensity baseline (emission limit) of each facility is based on a GHG emission intensity benchmark. Operators can earn credits if their emission intensity is below the baseline level, and sell these credits to other covered operators or bank them for future compliance.","Operators do not have to pay for GHG emission up to their baseline emission intensity level. Only if the baseline emissions intensity level is exceeded, operators must surrender a number of compliance units (See Point of regulation). Also, small emitters are exempt from the BC GGIRCA.","Operators are liable for reporting the emissions covered under the BC GGIRCA at a facility level and meet their compliance obligations for the emissions above the baseline emission intensity, equivalent to the actual production activity level multiplied by the difference between the actual and baseline emissions intensity. Operators can meet their compliance obligations through surrendering an equivalent amount of earned credits from facilities that outperform their targets, offset units or funded credits purchased by contributing CAN$25/tCO2e to the clean technology fund. ",Operators need to meet their compliance obligations on an annual basis.  ,Operators can use eligible offsets to meet their compliance obligations. Only offsets generated from projects according to an approved offset protocol are eligible.,N/A,Not applicable,Not applicable,N/A,N/A,"Operators under the GGIRCA are also covered under the BC carbon tax.  The GGIRCA includes the option for operators to use emission units from other jurisdictions to meet their compliance obligations, but these rules are yet to be defined.",Not applicable,LNG legislation,-,
BC carbon tax,Carbon tax,Implemented,2008,The British Columbia carbon tax (official name: B.C.'s Revenue Neutral Carbon Tax) aims to encourage people and businesses to innovate and find the most cost-efficient methods of reducing emissions to pay less in carbon tax. Revenue neutral means that the carbon tax revenue is recycled back into the economy through various income tax reductions and tax credits.,"The British Columbia (BC) carbon tax was scheduled to increase from CAN$40/tCO2e to CAN$45/tCO2e (US$28/tCO2e to US$32/tCO2e) on April 1, 2020 and continue to increase annually by CAN$5/tCO2e (US$4/tCO2e) until the rate is CAN$50/tCO2e (US$35/tCO2e) in 2021. In following this schedule, BC would achieve the rate of CAN$50/tCO2e (US$35/tCO2e) one year before the federal fuel charge. However, in response to COVID-19, the rate was frozen at CAN$40/tCO2e (US$28/tCO2e) until further notice.  As an additional response to COVID-19, the BC climate action tax credit, a measure to help offset the impact of the carbon tax on households, will be increased and expanded in July 2020 to provide income support for BC residents.  The CleanBC Industrial Incentive Program (CIIP) was established in 2019 for large industrial facilities that must report their emissions under the Greenhouse Gas Industrial Reporting and Control Act (GGIRCA). It provides payments to industrial facilities based on their emission performance (i.e. a comparison against emissions intensity benchmarks) to offset the carbon tax cost that they face above CAN$30/tCO2e. Participation is voluntary and operators that meet or are closer to the benchmarks may be eligible to receive a greater payment, creating an incentive to reduce their emissions intensity.",British Columbia,60 MtCO2e,70%,"The BC carbon tax applies to GHG emissions from all sectors with some exemptions for the industry, aviation, transport and agriculture sectors (see Competitiveness considerations and/or exemptions). Planning to expand coverage to include fugitive emissions and emissions from the burning of certain forestry residues is also planned.  The tax covers all fossil fuels and tires combusted for heat or energy.",No overlap yet as facilities covered under the BC GGIRC are not yet operational,Not applicable,Not applicable,"Various exemptions as rebates including exported fuels, fuel consumption by aviation and shipping travelling outside British Columbia, and colored gasoline and colored diesel purchased by farmers",Producers and importers of the fossil fuels covered are liable for payment of the tax.,The carbon tax is to be paid on a monthly basis. ,Not applicable,CAN$40/tCO2e (US$28/tCO2e),Not applicable,The rate will increase annually by CAN$5/tCO2e until the rate is equal to CAN$50/tCO2e in 2021.,US$1145 million,US$1375 million,Not applicable,Not applicable,British Columbia Carbon Tax,-,
Baja Calfornia carbon tax,Carbon tax,Implemented,2020,"In April 2020, the Mexican state Baja California approved a carbon tax which replaces the tax on the first sale of gasoline and other derivatives of crude oil that was implemented earlier in the year. The Baja California carbon tax applies to the sale of gasoline, diesel, natural gas and liquefied petroleum gas. Revenues from the carbon tax will be redistributed to the five municipalities and will be allocated to the state budget. ","The Baja California carbon tax entered into force on May 1, 2020.",Baja California,0 MtCO2e,N/A,The Baja California carbon tax applies to CO2 emissions from all sectors.  The tax covers all liquid fossil fuels.,Not applicable,Not applicable,Not applicable,Not applicable,Sellers of the fossil fuels covered are liable for payment of the tax.,The carbon tax is to be paid on a monthly basis.,Not applicable,MXN170/tCO2e (US$7/tCO2e),Not applicable,Not applicable,N/A,N/A,Not applicable,Not applicable,Baja California carbon tax law,-,
Beijing pilot ETS,ETS,Implemented,2013,The Beijing pilot ETS is a cap-and-trade system that aims to control GHG emissions and coordinate measures against air pollution. It is also a key measure for the city of Beijing to meet its carbon intensity reduction target. ,"The Beijing pilot ETS continues to increase the stringency of its benchmark values for power generation enterprises and is shifting from historical intensity or total emissions-based allocation to benchmarks for heat production and supply as well as the cement sector. The government adjusted the historical base year for the approved emission allowances from 2009-2012 to 2016-2018. In addition, the Beijing municipal government has pushed back its 2019 compliance deadline to October 2020 due to COVID-19. It also introduced mandatory reporting requirements to the aviation sector but delayed the introduction of ETS compliance obligations for this sector.",Beijing,188 MtCO2e,45%,"The Beijing pilot ETS applies to CO2 emissions from the industry, power, transport and buildings sectors.",35%  Estimated based on overlap with: China national ETS,50 MtCO2e (2017)  The total amount of emission allowances is determined top-down.,"Emission allowances under the cap are distributed via free allocation and/or auctioning. Most existing business entities receive free allocation based on their historical emissions or historical carbon intensity and actual production data. Power companies, new entrants and entities with a capacity expansion receive free allocation based on benchmarks and actual production data. Up to 5% of allowances can be set aside for auctioning (See Price/market stabilization measures). ","All operators receive their allowances (largely) for free. Also, small emitters (< 5,000 tCO2/year) are exempt from the Beijing pilot ETS.","Operators are liable for reporting their direct emissions as well as indirect emissions from power and heat consumption at a business entity level. Power generators are liable for their direct emissions at a business entity level, meaning that power and heat sector emissions are double-regulated due to the price-regulated electricity market in China. All liable entities need to surrender an equivalent amount of emission allowances (and eligible offsets). ",Operators need to meet their compliance obligations on an annual basis.  ,"Operators can use eligible offsets to meet up to 5% of their compliance obligations. Only Chinese project-based carbon offsets (CCERs) generated from certain project types after January 1, 2013, or February 16, 2005 for forestry carbon sequestration projects, are eligible. At least 50% of the surrendered CCERs must come from projects within Beijing.",RMB89/tCO2e (US$13/tCO2e),"The authorities can auction additional allowances if the weighted average price exceeds CNY150/tCO2 for ten consecutive days, and buy back allowances from the market if the price is below CNY20/tCO2.",Not applicable,N/A,US$610 million,The Beijing pilot ETS is to be merged into the national ETS under unified rules and a detailed transition plan is under development.,"Beijing has pioneered cross-regional trading with its neighboring provinces, in particular Hubei and Inner Mongolia. The Framework Agreement for Cooperation on the Study of Cross-regional Carbon Emissions Trading with several provinces signed in 2013 provided a basis for such cooperation.",Beijing Pilot ETS Implementation Plan Interim Measures for the Management Emissions Trading in Beijing Beijing DRC - Allocation Plan for Vintage 2017,ICAP Beijing pilot ETS factsheet PMR ETS news from China,The data for this factsheet is provided by the the International Carbon Action Partnership (ICAP) Secretariat and is an abbreviated entry of the factsheet for the ICAP ETS Map. The complete ICAP factsheet for the Beijing pilot ETS can be found here
Brazil undecided,Undecided,Under consideration,TBC,"Brazil's National Climate Change Policy, enacted in December 2009, aims to promote the development of a Brazilian market for emissions reductions. As part of its activities under the Partnership for Market Readiness (PMR), the Brazilian government is considering the implementation of market instruments to meet Brazil's mitigation targets and reduce overall mitigation costs. Brazil is assessing different carbon pricing instruments, including an ETS and a carbon tax. The Ministry of Economy is developing design options and conducting comprehensive economic and regulatory impact assessments for both instruments. ","On December 23, 2019, the Brazilian Ministry of Economy announced advances in discussions about carbon pricing in Brazil.  As part of a broader stakeholder consultation process, participants at the meeting, which included representatives from government, the private sector and international organizations, 'pledged to accelerate studies on the creation of a carbon pricing system based on national greenhouse gas emissions trading'.",,,,,,,,,,,,,,,,,,,-,ICAP Brazil factsheet,The data for this factsheet is provided by the the International Carbon Action Partnership (ICAP) Secretariat and is an abbreviated entry of the factsheet for the ICAP ETS Map. The complete ICAP factsheet for Brazil can be found here
