"Data last updated November, 01 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: Nominal prices on November, 01 2020 Prices are not necessarily comparable between carbon pricing initiatives because of differences in the number of sectors covered and allocation methods applied, specific exemptions, and different compensation methods. Due to the dynamic approach to continuously improve data quality and fluctuating exchange rates, data of different years may not always be comparable and could be amended following new information from official government sources. In addition, data for a limited number of initiatives may be incomplete as they are in the process of being validated and will be updated following confirmation from official government sources. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name of the initiative,Instrument Type,Jurisdiction Covered,Revenue_1990,Revenue_1991,Revenue_1992,Revenue_1993,Revenue_1994,Revenue_1995,Revenue_1996,Revenue_1997,Revenue_1998,Revenue_1999,Revenue_2000,Revenue_2001,Revenue_2002,Revenue_2003,Revenue_2004,Revenue_2005,Revenue_2006,Revenue_2007,Revenue_2008,Revenue_2009,Revenue_2010,Revenue_2011,Revenue_2012,Revenue_2013,Revenue_2014,Revenue_2015,Revenue_2016,Revenue_2017,Revenue_2018,Revenue_2019
Alberta TIER,ETS,Alberta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.01168452,69.84101875,65.80645161,81.939973,63.42643945,92.16091276,85.60805296,66.84110371,63.92274086,101.8787016,105.0999663,340.5935456,367.606535
Alberta carbon tax,Carbon tax,Alberta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714.6177652,1012.970567,0
Argentina carbon tax,Carbon tax,Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.2276494,179.2632156
Australia ERF Safeguard Mechanism,ETS,Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria undecided,Undecided,Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BC GGIRCA,ETS,British Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BC carbon tax,Carbon tax,British Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.2186981,524.9627792,717.883477,912.0701825,1062.01436,1085.063934,954.6463685,932.0150226,902.3327482,961.866211,1056.271122,1145.107884
Baja Calfornia carbon tax,Carbon tax,Baja California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beijing pilot ETS,ETS,Beijing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil undecided,Undecided,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California CaT,ETS,California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.76,476.7979802,437.1072159,2558.161288,901.0963089,2024.167788,3020,3064.749861
Canada federal OBPS,ETS,Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada federal fuel charge,Carbon tax,Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1371.069743
Catalonia carbon tax,Carbon tax,Catalonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile ETS,ETS,Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
