Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
China,%,false,5.21,4.34,7.08,4.47,11.04,0.93,0.22,3.52,-1.22,4.84,4.95,6.93,12.96,13.91,11.85,9.98,8.19,3.55,6.98,9.13,4.99,3.14,4.25,0.10,-0.05,0.52,1.79
United States,%,false,-0.75,1.49,1.92,1.60,1.07,2.85,4.12,0.56,-0.04,2.46,-0.62,-2.48,0.95,1.29,0.22,-1.47,1.44,-2.77,-6.86,4.28,-4.05,-4.24,2.52,0.36,-2.18,1.61,-1.11
India,%,false,5.45,3.03,2.89,4.11,5.59,3.97,4.53,2.53,5.64,2.60,16.64,1.28,2.69,4.83,3.81,4.85,7.04,4.41,6.49,4.42,1.30,5.68,2.10,6.10,0.46,2.37,4.22
Russia,%,false,-3.34,-8.49,-10.08,-12.34,-4.01,-2.16,-7.07,-0.87,1.86,3.30,-20.52,1.49,5.38,2.89,0.40,4.60,0.48,2.19,-8.78,7.32,10.29,1.16,-2.22,-0.18,-2.72,7.09,1.09
Indonesia,%,false,1.38,1.62,1.25,1.27,2.49,-13.37,81.75,-35.90,-8.15,-5.53,-14.47,47.25,-22.20,29.92,-18.08,33.20,-33.53,-1.12,36.37,-24.15,48.92,1.17,-3.49,23.23,2.68,-29.80,0.88
Brazil,%,false,1.66,0.59,0.61,0.97,1.18,0.56,1.76,1.94,0.55,-0.19,5.24,1.77,0.67,2.44,0.43,-0.49,1.75,0.07,-1.08,4.77,-39.63,3.23,1.79,2.83,-1.35,6.62,1.21
Japan,%,false,1.31,1.18,-0.66,5.06,1.27,1.17,-1.00,-3.92,2.22,1.37,-3.72,2.74,0.65,-0.68,0.08,-1.85,3.09,-5.57,-5.27,5.27,9.30,3.42,0.90,-2.92,-2.88,0.85,-1.82
Iran,%,false,16.77,7.46,-0.56,10.84,5.17,4.07,4.79,2.12,9.72,4.40,-1.59,5.62,6.32,7.49,7.33,8.46,6.22,2.07,3.62,0.87,7.35,1.38,2.75,1.57,-0.97,1.21,2.36
Germany,%,false,-2.67,-4.42,-0.75,-1.26,-0.65,2.80,-3.68,-2.65,-3.56,-1.01,5.24,-1.90,-0.12,-2.08,-2.61,0.71,-3.17,0.30,-6.43,3.68,-4.59,1.71,2.06,-4.71,0.47,0.30,-2.13
Canada,%,false,-0.65,2.56,-0.31,3.23,2.39,3.62,1.82,2.33,-0.32,2.20,30.10,1.94,1.98,-0.53,1.15,-1.39,3.15,-2.38,-3.71,1.39,-15.43,0.58,1.34,0.82,-0.41,-13.44,2.00
Mexico,%,false,4.31,0.66,4.49,5.59,-3.93,5.59,5.71,6.91,-3.86,4.96,-17.23,1.29,5.05,0.89,4.96,4.25,3.93,5.39,-2.63,0.71,16.52,-0.97,-0.79,-1.33,3.79,1.99,-0.58
Democratic Republic of the Congo,%,false,-0.25,0.09,0.09,0.08,0.00,-1.03,1.45,0.44,-1.77,-0.79,-2.01,2.92,1.55,0.76,0.08,0.58,-1.54,0.99,0.01,0.60,52.77,-0.11,0.63,0.08,0.39,-0.02,0.14
South Korea,%,false,10.37,9.11,10.49,8.49,9.18,7.26,6.26,-14.77,10.13,13.98,-0.20,-1.53,1.71,5.14,-0.93,1.70,1.77,2.78,2.63,9.90,5.81,0.72,-0.05,-1.72,3.51,2.49,2.06
Saudi Arabia,%,false,11.64,6.90,3.72,5.98,1.99,5.74,-5.98,7.23,2.49,4.62,2.18,6.83,4.18,5.55,4.73,6.28,5.93,9.10,4.59,9.30,3.82,6.34,3.12,7.44,4.92,0.57,-1.22
Australia,%,false,-0.01,0.39,-0.06,0.55,1.44,-0.03,1.97,4.43,5.84,2.85,0.57,-0.75,-11.67,8.88,-5.83,8.10,-0.07,-4.54,2.71,-5.15,7.25,-0.25,-13.66,1.97,0.05,1.92,7.93
South Africa,%,false,-1.27,-0.96,2.70,1.86,3.22,3.12,3.88,2.09,-5.71,0.92,9.56,4.07,5.39,6.52,0.07,0.52,4.51,6.72,-4.09,4.72,-3.09,3.85,1.94,2.33,-4.52,0.15,2.58
Turkey,%,false,1.30,3.90,3.27,-2.34,7.26,8.24,3.91,0.49,-0.04,9.85,-18.02,4.69,5.18,2.60,5.06,11.29,10.34,-0.44,1.07,3.04,1.77,4.18,-2.50,7.26,1.83,15.50,9.69
United Kingdom,%,false,2.04,-2.90,-2.29,-1.50,-1.29,2.86,-2.99,-0.52,-3.75,0.39,1.60,-2.60,1.15,-0.69,-0.88,-0.44,-2.34,-3.09,-8.76,2.26,-7.30,3.97,-3.33,-7.52,-3.19,-4.62,-3.03
Pakistan,%,false,0.57,5.49,5.56,3.58,5.42,3.46,3.28,1.75,5.68,0.91,0.95,2.69,3.20,6.71,3.08,6.98,5.65,0.94,3.27,-1.75,2.21,1.16,3.14,3.97,4.14,6.78,6.36
Thailand,%,false,6.90,6.40,8.14,6.92,8.34,8.29,2.68,-6.63,3.80,0.48,-12.95,5.24,5.37,8.77,2.11,1.19,5.26,1.13,-0.13,6.40,10.39,6.15,2.89,-0.84,0.46,3.86,4.39
Argentina,%,false,1.73,1.50,0.84,1.69,0.19,4.54,0.79,1.18,1.87,-0.33,12.47,-0.84,5.89,3.94,1.10,3.53,3.15,0.95,-4.27,1.35,-4.46,1.02,2.38,-0.69,1.57,-7.49,0.36
Malaysia,%,false,3.65,3.14,1.53,3.07,3.20,3.45,4.24,12.01,-7.48,4.35,-3.09,6.90,3.22,8.24,4.23,-1.22,7.44,3.17,-0.45,3.39,-58.96,0.20,11.81,17.89,-6.64,97.28,-3.58
Italy,%,false,-0.53,-0.71,-1.40,-1.19,5.68,-0.81,0.82,2.43,1.52,1.02,-0.42,1.70,3.75,2.17,0.24,-2.36,-1.31,-2.95,-9.95,1.92,-2.40,-4.06,-7.54,-5.05,2.94,4.50,-1.41
Vietnam,%,false,244.93,62.32,102.15,42.51,32.76,31.31,23.68,27.53,6.25,14.59,150.23,10.76,3.06,10.05,4.67,2.69,6.60,4.71,9.09,6.98,-15.09,0.23,5.25,5.22,16.63,8.15,-0.57
France,%,false,5.19,-2.93,-3.85,-1.22,1.89,3.97,-2.03,3.33,-2.10,-0.60,-7.56,-1.70,1.11,-0.54,0.15,-2.33,-1.66,-1.47,-4.37,0.93,-2.94,0.73,0.22,-8.36,1.65,-0.27,0.66
Nigeria,%,false,4.08,4.68,-0.04,-0.49,-2.00,4.06,-3.38,-3.05,-3.45,-1.07,0.55,1.81,3.03,1.39,6.42,-1.81,-0.70,1.07,-6.58,8.61,6.44,1.46,4.77,3.04,-1.38,2.29,2.04
