location_id,date,maxTemp,minTemp,prcp
ST801,20010106,32.7,15.2,0.42
ST801,20010113,26.7,8.7,0.08
ST801,20010120,23.8,6.6,0.03
ST801,20010127,31.4,14.4,0.05
ST801,20010203,35.4,15.3,0.03
ST801,20010210,28.7,12.2,0.1
ST801,20010217,35.1,18.3,0
ST801,20010224,46.2,25.7,0.07
ST801,20010303,51,28.7,0
ST801,20010310,45.8,25.6,0
ST801,20010317,58.4,31.7,0
ST801,20010324,70.5,39.7,0
ST801,20010331,52.5,30.6,0
ST801,20010407,62.5,39.8,0.23
ST801,20010414,65,43.6,0.18
ST801,20010421,77.1,47.2,0
ST801,20010428,69.3,46.5,0.14
ST801,20010505,73.2,55.2,0.29
ST801,20010512,78.6,51.7,0.22
ST801,20010519,91.6,60.1,0.03
ST801,20010526,90.2,64.5,0.03
ST801,20010602,91.2,59.3,0.04
ST801,20010609,93.5,70.9,0.03
ST801,20010616,81.7,66.4,1.48
ST801,20010623,84.9,66.6,0.08
ST801,20010630,86.5,71.1,0.46
ST801,20010707,89.3,71.7,0.17
ST801,20010714,94.3,69.8,0.21
ST801,20010721,90.5,72,2.59
ST801,20010728,85.7,69.5,3.86
ST801,20010804,86.8,71.6,0.12
ST801,20010811,90.3,71.2,0.04
ST801,20010818,86.7,70.2,0.35
ST801,20010825,87,65.5,2.85
ST801,20010901,87,64.1,0
ST801,20010908,83.4,64.1,0.04
ST801,20010915,83.7,60.3,0.04
ST801,20010922,78,54.6,0.09
ST801,20010929,74.8,53.9,0.32
ST801,20011006,69.1,45.2,1.69
ST801,20011013,68.4,47.4,0.37
ST801,20011020,66.4,46,0.24
ST801,20011027,66,49.9,0.25
ST801,20011103,58.2,35,0.21
ST801,20011110,53.4,30.3,0.52
ST801,20011117,52.2,30.3,0.38
ST801,20011124,59.4,32.2,0
ST801,20011201,43,23.7,0
ST801,20011208,34.9,16.3,0.08
ST801,20011215,33.1,18,0.03
ST801,20011222,33.9,18.5,0.03
ST801,20011229,36.1,16.8,0
ST801,20020105,43.5,18.8,0
ST801,20020112,45.9,21.1,0
ST801,20020119,41.4,22.4,0
ST801,20020126,39.2,20.8,0
ST801,20020202,45.9,21.3,0
ST801,20020209,47.7,22.1,0
